description,priority
Buy groceries,High
Complete project report,Medium
Schedule a meeting with the team,Low
Prepare presentation for the meeting,Medium
Pay the bills,High
Exercise,Low
college sem end exam preparation,High
charge mobile phone,High
buy chocolate,High
sleep,High
read a book,Low
play chess with friends,Low
clean the bike,Low
pack the bag,Medium
select a dress for outing,Low
journal your thoughts,Medium
do the project work,Medium
deadline is approaching for task submission,High
plan for a trip,Medium
design the dress,Medium
practice painting,Medium
be on time,Medium
make a dish,Medium
